,Layer Names,Layer Types,Ni,Lr,Lc,Input Mem,Input Move?,Input Upsampling Ratio,No,Mr,Mc,Output Mem,Output Move?,Output Downsampling Ratio,Fr,Fc,Sr,Sc,Filter Upsampling Ratio,Filter Grouping,Filter Mem,Filter Move?,Bandwidth,Input Move,Output Move,Filter Move,Total Move Time,M,N,K,MACS,Serial Time,Parallel Time,Matrix Compute,Vector Compute,Total Compute
0,input_16,InputLayer,3,224,224,150528,0,1,3,224,224,150528,0,1,1,1,1,1,1,3,0,1,0,0.0,0.0,0.0,0.0,3,50176,3,451584,4.704e-06,4.704e-06,0.0,4.704e-06,4.704e-06
1,conv2d_283,Conv2D,3,224,224,150528,0,1,32,111,111,394272,0,2,3,3,2,2,1,3,864,1,864,0.0,0.0,8.64e-08,8.64e-08,32,50176,27,43352064,4.24224e-05,4.2336e-05,4.2336e-05,0.0,4.2336e-05
2,batch_normalization_283,BatchNormalization,32,111,111,394272,0,1,32,111,111,394272,0,1,1,1,1,1,1,32,96,1,96,0.0,0.0,9.6e-09,9.6e-09,32,12321,32,12616704,1.23306e-05,1.2321e-05,0.0,1.2321e-05,1.2321e-05
3,activation_479,Activation,32,111,111,394272,0,1,32,111,111,394272,0,1,1,1,1,1,1,32,0,1,0,0.0,0.0,0.0,0.0,32,12321,32,12616704,1.2321e-05,1.2321e-05,0.0,1.2321e-05,1.2321e-05
4,conv2d_284,Conv2D,32,111,111,394272,0,1,32,109,109,380192,0,1,3,3,1,1,1,32,9216,1,9216,0.0,0.0,9.216e-07,9.216e-07,32,12321,288,113550336,0.0001118106,0.000110889,0.000110889,0.0,0.000110889
5,batch_normalization_284,BatchNormalization,32,109,109,380192,0,1,32,109,109,380192,0,1,1,1,1,1,1,32,96,1,96,0.0,0.0,9.6e-09,9.6e-09,32,11881,32,12166144,1.1890600000000001e-05,1.1881e-05,0.0,1.1881e-05,1.1881e-05
6,activation_480,Activation,32,109,109,380192,0,1,32,109,109,380192,0,1,1,1,1,1,1,32,0,1,0,0.0,0.0,0.0,0.0,32,11881,32,12166144,1.1881e-05,1.1881e-05,0.0,1.1881e-05,1.1881e-05
7,conv2d_285,Conv2D,32,109,109,380192,0,1,64,109,109,760384,0,1,3,3,1,1,1,32,18432,1,18432,0.0,0.0,1.8432e-06,1.8432e-06,64,11881,288,218990592,0.00021570120000000001,0.000213858,0.000213858,0.0,0.000213858
8,batch_normalization_285,BatchNormalization,64,109,109,760384,0,1,64,109,109,760384,0,1,1,1,1,1,1,64,192,1,192,0.0,0.0,1.92e-08,1.92e-08,64,11881,64,48664576,2.3781200000000002e-05,2.3762e-05,0.0,2.3762e-05,2.3762e-05
9,activation_481,Activation,64,109,109,760384,0,1,64,109,109,760384,0,1,1,1,1,1,1,64,0,1,0,0.0,0.0,0.0,0.0,64,11881,64,48664576,2.3762e-05,2.3762e-05,0.0,2.3762e-05,2.3762e-05
10,max_pooling2d_17,MaxPooling2D,64,109,109,760384,0,1,64,54,54,186624,0,1,1,1,1,1,1,64,0,1,0,0.0,0.0,0.0,0.0,64,11881,64,48664576,2.3762e-05,2.3762e-05,0.0,2.3762e-05,2.3762e-05
11,conv2d_286,Conv2D,64,54,54,186624,0,1,80,54,54,233280,0,1,1,1,1,1,1,64,5120,1,5120,0.0,0.0,5.12e-07,5.12e-07,80,2916,64,14929920,1.5091999999999999e-05,1.458e-05,1.458e-05,0.0,1.458e-05
12,batch_normalization_286,BatchNormalization,80,54,54,233280,0,1,80,54,54,233280,0,1,1,1,1,1,1,80,240,1,240,0.0,0.0,2.4e-08,2.4e-08,80,2916,80,18662400,7.314e-06,7.29e-06,0.0,7.29e-06,7.29e-06
13,activation_482,Activation,80,54,54,233280,0,1,80,54,54,233280,0,1,1,1,1,1,1,80,0,1,0,0.0,0.0,0.0,0.0,80,2916,80,18662400,7.29e-06,7.29e-06,0.0,7.29e-06,7.29e-06
14,conv2d_287,Conv2D,80,54,54,233280,0,1,192,52,52,519168,0,1,3,3,1,1,1,80,138240,1,138240,0.0,0.0,1.3824e-05,1.3824e-05,192,2916,720,403107840,0.000407484,0.00039366,0.00039366,0.0,0.00039366
15,batch_normalization_287,BatchNormalization,192,52,52,519168,0,1,192,52,52,519168,0,1,1,1,1,1,1,192,576,1,576,0.0,0.0,5.76e-08,5.76e-08,192,2704,192,99680256,1.62816e-05,1.6224e-05,0.0,1.6224e-05,1.6224e-05
16,activation_483,Activation,192,52,52,519168,0,1,192,52,52,519168,0,1,1,1,1,1,1,192,0,1,0,0.0,0.0,0.0,0.0,192,2704,192,99680256,1.6224e-05,1.6224e-05,0.0,1.6224e-05,1.6224e-05
17,max_pooling2d_18,MaxPooling2D,192,52,52,519168,0,1,192,25,25,120000,0,1,1,1,1,1,1,192,0,1,0,0.0,0.0,0.0,0.0,192,2704,192,99680256,1.6224e-05,1.6224e-05,0.0,1.6224e-05,1.6224e-05
18,conv2d_291,Conv2D,192,25,25,120000,0,1,64,25,25,40000,0,1,1,1,1,1,1,192,12288,1,12288,0.0,0.0,1.2288e-06,1.2288e-06,64,625,192,7680000,8.7288e-06,7.5e-06,7.5e-06,0.0,7.5e-06
19,batch_normalization_291,BatchNormalization,64,25,25,40000,0,1,64,25,25,40000,0,1,1,1,1,1,1,64,192,1,192,0.0,0.0,1.92e-08,1.92e-08,64,625,64,2560000,1.2692e-06,1.25e-06,0.0,1.25e-06,1.25e-06
20,activation_487,Activation,64,25,25,40000,0,1,64,25,25,40000,0,1,1,1,1,1,1,64,0,1,0,0.0,0.0,0.0,0.0,64,625,64,2560000,1.25e-06,1.25e-06,0.0,1.25e-06,1.25e-06
21,conv2d_289,Conv2D,192,25,25,120000,0,1,48,25,25,30000,0,1,1,1,1,1,1,192,9216,1,9216,0.0,0.0,9.216e-07,9.216e-07,48,625,192,5760000,6.5466e-06,5.625e-06,5.625e-06,0.0,5.625e-06
