,Layer Names,Layer Types,Ni,Lr,Lc,Input Mem,Input Move?,Input Upsampling Ratio,No,Mr,Mc,Output Mem,Output Move?,Output Downsampling Ratio,Fr,Fc,Sr,Sc,Filter Upsampling Ratio,Filter Grouping,Filter Mem,Filter Move?,Bandwidth,Input Move,Output Move,Filter Move,Total Move Time,M,N,K,MACS,Serial Time,Parallel Time,Matrix Compute,Vector Compute,Total Compute
0,input_15,InputLayer,3,224,224,150528,0,1,3,224,224,150528,0,1,1,1,1,1,1,3,0,1,0,0.0,0.0,0.0,0.0,3,50176,3,451584,4.704e-06,4.704e-06,0.0,4.704e-06,4.704e-06
1,conv1_pad,ZeroPadding2D,3,224,224,150528,0,1,3,225,225,151875,0,1,1,1,1,1,1,3,0,1,0,0.0,0.0,0.0,0.0,3,50176,3,451584,4.74609375e-06,4.74609375e-06,0.0,4.74609375e-06,4.74609375e-06
2,conv1,Conv2D,3,225,225,151875,0,1,32,112,112,401408,0,2,3,3,2,2,1,3,864,1,864,0.0,0.0,8.64e-08,8.64e-08,32,50625,27,43740000,4.280124375e-05,4.271484375e-05,4.271484375e-05,0.0,4.271484375e-05
3,conv1_bn,BatchNormalization,32,112,112,401408,0,1,32,112,112,401408,0,1,1,1,1,1,1,32,128,1,128,0.0,0.0,1.28e-08,1.28e-08,32,12544,32,12845056,1.25568e-05,1.2544e-05,0.0,1.2544e-05,1.2544e-05
4,conv1_relu,ReLU,32,112,112,401408,0,1,32,112,112,401408,0,1,1,1,1,1,1,32,0,1,0,0.0,0.0,0.0,0.0,32,12544,32,12845056,0.0,0.0,0.0,0.0,0.0
5,conv_dw_1,DepthwiseConv2D,32,112,112,401408,0,1,32,112,112,401408,0,1,1,1,1,1,1,32,288,1,288,0.0,0.0,2.88e-08,2.88e-08,32,12544,32,12845056,1.2572800000000001e-05,1.2544e-05,1.2544e-05,0.0,1.2544e-05
6,conv_dw_1_bn,BatchNormalization,32,112,112,401408,0,1,32,112,112,401408,0,1,1,1,1,1,1,32,128,1,128,0.0,0.0,1.28e-08,1.28e-08,32,12544,32,12845056,1.25568e-05,1.2544e-05,0.0,1.2544e-05,1.2544e-05
7,conv_dw_1_relu,ReLU,32,112,112,401408,0,1,32,112,112,401408,0,1,1,1,1,1,1,32,0,1,0,0.0,0.0,0.0,0.0,32,12544,32,12845056,0.0,0.0,0.0,0.0,0.0
8,conv_pw_1,Conv2D,32,112,112,401408,0,1,64,112,112,802816,0,1,1,1,1,1,1,32,2048,1,2048,0.0,0.0,2.048e-07,2.048e-07,64,12544,32,25690112,2.52928e-05,2.5088e-05,2.5088e-05,0.0,2.5088e-05
9,conv_pw_1_bn,BatchNormalization,64,112,112,802816,0,1,64,112,112,802816,0,1,1,1,1,1,1,64,256,1,256,0.0,0.0,2.56e-08,2.56e-08,64,12544,64,51380224,2.51136e-05,2.5088e-05,0.0,2.5088e-05,2.5088e-05
