,Layer Names,Layer Types,Ni,Lr,Lc,Input Mem,Input Move?,Input Upsampling Ratio,No,Mr,Mc,Output Mem,Output Move?,Output Downsampling Ratio,Fr,Fc,Sr,Sc,Filter Upsampling Ratio,Filter Grouping,Filter Mem,Filter Move?,Bandwidth,Input Move,Output Move,Filter Move,Total Move Time,M,N,K,MACS,Serial Time,Parallel Time,Matrix Compute,Vector Compute,Total Compute
0,input_14,InputLayer,3,224,224,150528,0,1,3,224,224,150528,0,1,1,1,1,1,1,3,0,1,0,0.0,0.0,0.0,0.0,3,50176,3,451584,4.704e-06,4.704e-06,0.0,4.704e-06,4.704e-06
1,conv1_pad,ZeroPadding2D,3,224,224,150528,0,1,3,230,230,158700,0,1,1,1,1,1,1,3,0,1,0,0.0,0.0,0.0,0.0,3,50176,3,451584,4.959375e-06,4.959375e-06,0.0,4.959375e-06,4.959375e-06
2,conv1,Conv2D,3,230,230,158700,0,1,64,112,112,802816,0,2,7,7,2,2,1,3,9472,1,9472,0.0,0.0,9.472e-07,9.472e-07,64,52900,147,497683200,0.00048696595,0.00048601875,0.00048601875,0.0,0.00048601875
3,bn_conv1,BatchNormalization,64,112,112,802816,0,1,64,112,112,802816,0,1,1,1,1,1,1,64,256,1,256,0.0,0.0,2.56e-08,2.56e-08,64,12544,64,51380224,2.51136e-05,2.5088e-05,0.0,2.5088e-05,2.5088e-05
4,activation_430,Activation,64,112,112,802816,0,1,64,112,112,802816,0,1,1,1,1,1,1,64,0,1,0,0.0,0.0,0.0,0.0,64,12544,64,51380224,2.5088e-05,2.5088e-05,0.0,2.5088e-05,2.5088e-05
5,pool1_pad,ZeroPadding2D,64,112,112,802816,0,1,64,114,114,831744,0,1,1,1,1,1,1,64,0,1,0,0.0,0.0,0.0,0.0,64,12544,64,51380224,2.5992e-05,2.5992e-05,0.0,2.5992e-05,2.5992e-05
6,max_pooling2d_16,MaxPooling2D,64,114,114,831744,0,1,64,56,56,200704,0,1,1,1,1,1,1,64,0,1,0,0.0,0.0,0.0,0.0,64,12996,64,53231616,2.5992e-05,2.5992e-05,0.0,2.5992e-05,2.5992e-05
7,res2a_branch2a,Conv2D,64,56,56,200704,0,1,64,56,56,200704,0,1,1,1,1,1,1,64,4160,1,4160,0.0,0.0,4.16e-07,4.16e-07,64,3136,64,12845056,1.2960000000000001e-05,1.2544e-05,1.2544e-05,0.0,1.2544e-05
8,bn2a_branch2a,BatchNormalization,64,56,56,200704,0,1,64,56,56,200704,0,1,1,1,1,1,1,64,256,1,256,0.0,0.0,2.56e-08,2.56e-08,64,3136,64,12845056,6.2976000000000005e-06,6.272e-06,0.0,6.272e-06,6.272e-06
9,activation_431,Activation,64,56,56,200704,0,1,64,56,56,200704,0,1,1,1,1,1,1,64,0,1,0,0.0,0.0,0.0,0.0,64,3136,64,12845056,6.272e-06,6.272e-06,0.0,6.272e-06,6.272e-06
10,res2a_branch2b,Conv2D,64,56,56,200704,0,1,64,56,56,200704,0,1,3,3,1,1,1,64,36928,1,36928,0.0,0.0,3.6928e-06,3.6928e-06,64,3136,576,115605504,0.0001165888,0.000112896,0.000112896,0.0,0.000112896
11,bn2a_branch2b,BatchNormalization,64,56,56,200704,0,1,64,56,56,200704,0,1,1,1,1,1,1,64,256,1,256,0.0,0.0,2.56e-08,2.56e-08,64,3136,64,12845056,6.2976000000000005e-06,6.272e-06,0.0,6.272e-06,6.272e-06
12,activation_432,Activation,64,56,56,200704,0,1,64,56,56,200704,0,1,1,1,1,1,1,64,0,1,0,0.0,0.0,0.0,0.0,64,3136,64,12845056,6.272e-06,6.272e-06,0.0,6.272e-06,6.272e-06
13,res2a_branch2c,Conv2D,64,56,56,200704,0,1,256,56,56,802816,0,1,1,1,1,1,1,64,16640,1,16640,0.0,0.0,1.664e-06,1.664e-06,256,3136,64,51380224,5.1840000000000005e-05,5.0176e-05,5.0176e-05,0.0,5.0176e-05
14,res2a_branch1,Conv2D,64,56,56,200704,0,1,256,56,56,802816,0,1,1,1,1,1,1,64,16640,1,16640,0.0,0.0,1.664e-06,1.664e-06,256,3136,64,51380224,5.1840000000000005e-05,5.0176e-05,5.0176e-05,0.0,5.0176e-05
15,bn2a_branch2c,BatchNormalization,256,56,56,802816,0,1,256,56,56,802816,0,1,1,1,1,1,1,256,1024,1,1024,0.0,0.0,1.024e-07,1.024e-07,256,3136,256,205520896,2.5190400000000002e-05,2.5088e-05,0.0,2.5088e-05,2.5088e-05
16,bn2a_branch1,BatchNormalization,256,56,56,802816,0,1,256,56,56,802816,0,1,1,1,1,1,1,256,1024,1,1024,0.0,0.0,1.024e-07,1.024e-07,256,3136,256,205520896,2.5190400000000002e-05,2.5088e-05,0.0,2.5088e-05,2.5088e-05
17,add_49,Add,256,56,56,802816,0,1,256,56,56,802816,0,1,1,1,1,1,1,256,0,1,0,0.0,0.0,0.0,0.0,256,3136,256,205520896,0.0,0.0,0.0,0.0,0.0
18,activation_433,Activation,256,56,56,802816,0,1,256,56,56,802816,0,1,1,1,1,1,1,256,0,1,0,0.0,0.0,0.0,0.0,256,3136,256,205520896,2.5088e-05,2.5088e-05,0.0,2.5088e-05,2.5088e-05
19,res2b_branch2a,Conv2D,256,56,56,802816,0,1,64,56,56,200704,0,1,1,1,1,1,1,256,16448,1,16448,0.0,0.0,1.6448e-06,1.6448e-06,64,3136,256,51380224,5.1820800000000004e-05,5.0176e-05,5.0176e-05,0.0,5.0176e-05
