,Layer Names,Layer Types,Ni,Lr,Lc,Input Mem,Input Move?,Input Upsampling Ratio,No,Mr,Mc,Output Mem,Output Move?,Output Downsampling Ratio,Fr,Fc,Sr,Sc,Filter Upsampling Ratio,Filter Grouping,Filter Mem,Filter Move?,Bandwidth,Input Move,Output Move,Filter Move,Total Move Time,M,N,K,MACS,Serial Time,Parallel Time,Matrix Compute,Vector Compute,Total Compute
0,input_13,InputLayer,3,224,224,150528,0,1,3,224,224,150528,0,1,1,1,1,1,1,3,0,1,0,0.0,0.0,0.0,0.0,3,50176,3,451584,4.704e-06,4.704e-06,0.0,4.704e-06,4.704e-06
1,block1_conv1,Conv2D,3,224,224,150528,0,1,64,224,224,3211264,0,1,3,3,1,1,1,3,1792,1,1792,0.0,0.0,1.792e-07,1.792e-07,64,50176,27,86704128,8.48512e-05,8.4672e-05,8.4672e-05,0.0,8.4672e-05
2,block1_conv2,Conv2D,64,224,224,3211264,0,1,64,224,224,3211264,0,1,3,3,1,1,1,64,36928,1,36928,0.0,0.0,3.6928e-06,3.6928e-06,64,50176,576,1849688064,0.0018100288,0.001806336,0.001806336,0.0,0.001806336
3,block1_pool,MaxPooling2D,64,224,224,3211264,0,1,64,112,112,802816,0,1,1,1,1,1,1,64,0,1,0,0.0,0.0,0.0,0.0,64,50176,64,205520896,0.000100352,0.000100352,0.0,0.000100352,0.000100352
4,block2_conv1,Conv2D,64,112,112,802816,0,1,128,112,112,1605632,0,1,3,3,1,1,1,64,73856,1,73856,0.0,0.0,7.3856e-06,7.3856e-06,128,12544,576,924844032,0.0009105536,0.000903168,0.000903168,0.0,0.000903168
5,block2_conv2,Conv2D,128,112,112,1605632,0,1,128,112,112,1605632,0,1,3,3,1,1,1,128,147584,1,147584,0.0,0.0,1.47584e-05,1.47584e-05,128,12544,1152,1849688064,0.0018210944,0.001806336,0.001806336,0.0,0.001806336
6,block2_pool,MaxPooling2D,128,112,112,1605632,0,1,128,56,56,401408,0,1,1,1,1,1,1,128,0,1,0,0.0,0.0,0.0,0.0,128,12544,128,205520896,5.0176e-05,5.0176e-05,0.0,5.0176e-05,5.0176e-05
7,block3_conv1,Conv2D,128,56,56,401408,0,1,256,56,56,802816,0,1,3,3,1,1,1,128,295168,1,295168,0.0,0.0,2.95168e-05,2.95168e-05,256,3136,1152,924844032,0.0009326848,0.000903168,0.000903168,0.0,0.000903168
8,block3_conv2,Conv2D,256,56,56,802816,0,1,256,56,56,802816,0,1,3,3,1,1,1,256,590080,1,590080,0.0,0.0,5.9008e-05,5.9008e-05,256,3136,2304,1849688064,0.001865344,0.001806336,0.001806336,0.0,0.001806336
9,block3_conv3,Conv2D,256,56,56,802816,0,1,256,56,56,802816,0,1,3,3,1,1,1,256,590080,1,590080,0.0,0.0,5.9008e-05,5.9008e-05,256,3136,2304,1849688064,0.001865344,0.001806336,0.001806336,0.0,0.001806336
10,block3_conv4,Conv2D,256,56,56,802816,0,1,256,56,56,802816,0,1,3,3,1,1,1,256,590080,1,590080,0.0,0.0,5.9008e-05,5.9008e-05,256,3136,2304,1849688064,0.001865344,0.001806336,0.001806336,0.0,0.001806336
11,block3_pool,MaxPooling2D,256,56,56,802816,0,1,256,28,28,200704,0,1,1,1,1,1,1,256,0,1,0,0.0,0.0,0.0,0.0,256,3136,256,205520896,2.5088e-05,2.5088e-05,0.0,2.5088e-05,2.5088e-05
12,block4_conv1,Conv2D,256,28,28,200704,0,1,512,28,28,401408,0,1,3,3,1,1,1,256,1180160,1,1180160,0.0,0.0,0.000118016,0.000118016,512,784,2304,924844032,0.001021184,0.000903168,0.000903168,0.0,0.000903168
13,block4_conv2,Conv2D,512,28,28,401408,0,1,512,28,28,401408,0,1,3,3,1,1,1,512,2359808,1,2359808,0.0,0.0,0.0002359808,0.0002359808,512,784,4608,1849688064,0.0020423168,0.001806336,0.001806336,0.0,0.001806336
14,block4_conv3,Conv2D,512,28,28,401408,0,1,512,28,28,401408,0,1,3,3,1,1,1,512,2359808,1,2359808,0.0,0.0,0.0002359808,0.0002359808,512,784,4608,1849688064,0.0020423168,0.001806336,0.001806336,0.0,0.001806336
15,block4_conv4,Conv2D,512,28,28,401408,0,1,512,28,28,401408,0,1,3,3,1,1,1,512,2359808,1,2359808,0.0,0.0,0.0002359808,0.0002359808,512,784,4608,1849688064,0.0020423168,0.001806336,0.001806336,0.0,0.001806336
